V(Volts),Current(mA),ln(I),Delta ln(I),Delta V,ratio,k,
0.47,4,-5.521460918,-,-,,,,,
0.48,5,-5.298317367,0.2231435513,0.01,0.04481420118,2.45E-23,
0.49,6,-5.11599581,0.1823215568,0.01,0.05484814948,3.00E-23,
0.5,7,-4.96184513,0.1541506798,0.01,0.06487159195,3.54E-23,
0.51,10,-4.605170186,0.3566749439,0.01,0.02803673252,1.53E-23,
0.52,12,-4.422848629,0.1823215568,0.01,0.05484814948,3.00E-23,
0.53,15,-4.199705078,0.2231435513,0.01,0.04481420118,2.45E-23,
0.54,18,-4.017383521,0.1823215568,0.01,0.05484814948,3.00E-23,
0.55,22,-3.816712826,0.2006706955,0.01,0.04983288655,2.72E-23,
0.56,28,-3.575550769,0.2411620568,0.01,0.04146589282,2.26E-23,
0.57,34,-3.381394754,0.1941560144,0.01,0.05150497155,2.81E-23,
0.58,43,-3.146555163,0.2348395911,0.01,0.04258225776,2.33E-23,
0.59,54,-2.918771232,0.2277839309,0.01,0.04390125309,2.40E-23,
0.6,65,-2.733368009,0.1854032233,0.01,0.05393649485,2.95E-23,
0.61,84,-2.47693848,0.2564295289,0.01,0.03899706887,2.13E-23,
0.62,86,-2.453407983,0.02353049741,0.01,0.4249803914,2.32E-22,
0.63,87,-2.44184716,0.0115608224,0.01,0.864990366,4.72E-22,
0.64,153,-1.877317358,0.5645298027,0.01,0.01771385665,9.67E-24,
0.65,215,-1.537117251,0.3402001067,0.01,0.02939446462,1.61E-23,