Current(A),Theta_R,Theta_G,B(Tesla),Theta_R(Rad),Theta_G(Rad)
0,0,0,0,0,0
0.4,1,1,0.0012606583,0.01745329252,0.01745329252
0.8,2,2.5,0.0025213166,0.03490658504,0.0436332313
1.2,2.5,5,0.0037819749,0.0436332313,0.0872664626
1.6,3,6.5,0.0050426332,0.05235987756,0.1134464014
2,4.5,8,0.0063032915,0.07853981634,0.1396263402
2.4,5,9.5,0.0075639498,0.0872664626,0.1658062789
2.8,6,10.5,0.0088246081,0.1047197551,0.1832595715
3.2,6.5,12,0.0100852664,0.1134464014,0.2094395102
3.6,8,14,0.0113459247,0.1396263402,0.2443460953
4,9,15.5,0.012606583,0.1570796327,0.2705260341